Station,Location,Day,Time,Count
Location 8: Regents Drive at Lot 11b,Sidewalk,4,9,6
Location 8: Regents Drive at Lot 11b,Sidewalk,4,10,1
Location 8: Regents Drive at Lot 11b,Sidewalk,4,13,1
Location 8: Regents Drive at Lot 11b,Sidewalk,4,14,2
Location 8: Regents Drive at Lot 11b,Sidewalk,4,17,11
Location 8: Regents Drive at Lot 11b,Sidewalk,4,18,4
Location 8: Regents Drive at Lot 11b,Street,3,8,5
Location 8: Regents Drive at Lot 11b,Street,3,9,5
Location 8: Regents Drive at Lot 11b,Street,3,10,17
Location 8: Regents Drive at Lot 11b,Street,3,12,9
Location 8: Regents Drive at Lot 11b,Street,3,13,6
Location 8: Regents Drive at Lot 11b,Street,3,14,3
Location 8: Regents Drive at Lot 11b,Street,3,16,3
Location 8: Regents Drive at Lot 11b,Street,3,17,7
Location 8: Regents Drive at Lot 11b,Street,3,18,8
Location 8: Regents Drive at Lot 11b,Street,4,9,2
Location 8: Regents Drive at Lot 11b,Street,4,10,5
Location 8: Regents Drive at Lot 11b,Street,4,11,1
Location 8: Regents Drive at Lot 11b,Street,4,13,3
Location 8: Regents Drive at Lot 11b,Street,4,14,5
Location 8: Regents Drive at Lot 11b,Street,4,17,13
Location 8: Regents Drive at Lot 11b,Street,4,18,11
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,8,1
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,9,14
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,10,6
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,11,1
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,12,12
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,13,7
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,14,2
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,16,13
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,17,11
Location 9: Campus Drive at Adelphi Road,Sidewalk,3,18,6
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,8,3
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,9,19
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,10,1
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,12,5
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,13,14
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,14,1
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,16,13
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,17,15
Location 9: Campus Drive at Adelphi Road,Sidewalk,4,18,13
Location 9: Campus Drive at Adelphi Road,Street,3,8,12
Location 9: Campus Drive at Adelphi Road,Street,3,9,16
Location 9: Campus Drive at Adelphi Road,Street,3,10,12
Location 9: Campus Drive at Adelphi Road,Street,3,11,1
Location 9: Campus Drive at Adelphi Road,Street,3,12,12
Location 9: Campus Drive at Adelphi Road,Street,3,13,10
Location 9: Campus Drive at Adelphi Road,Street,3,14,1
Location 9: Campus Drive at Adelphi Road,Street,3,16,12
Location 9: Campus Drive at Adelphi Road,Street,3,17,16
Location 9: Campus Drive at Adelphi Road,Street,3,18,8
Location 9: Campus Drive at Adelphi Road,Street,4,8,10
Location 9: Campus Drive at Adelphi Road,Street,4,9,20
Location 9: Campus Drive at Adelphi Road,Street,4,10,5
Location 9: Campus Drive at Adelphi Road,Street,4,11,1
Location 9: Campus Drive at Adelphi Road,Street,4,12,4
Location 9: Campus Drive at Adelphi Road,Street,4,13,9
Location 9: Campus Drive at Adelphi Road,Street,4,14,3
Location 9: Campus Drive at Adelphi Road,Street,4,16,12
Location 9: Campus Drive at Adelphi Road,Street,4,17,13
Location 9: Campus Drive at Adelphi Road,Street,4,18,12
