Id,Station,Gender,Helmet,Location,Comments,CreatedDate,Column1,Column2,Column3,,Time
59,Location 4: Regents Drive at Main Administration,Male,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,8:42:07 AM,8
60,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:45:58 AM,8
61,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:51:44 AM,8
62,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:53:57 AM,8
63,Location 4: Regents Drive at Main Administration,Male,TRUE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:57:43 AM,8
64,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:59:47 AM,8
65,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,8:59:54 AM,8
66,Location 4: Regents Drive at Main Administration,Male,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:00:45 AM,9
67,Location 4: Regents Drive at Main Administration,Male,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:00:54 AM,9
68,Location 4: Regents Drive at Main Administration,Female,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:07:46 AM,9
69,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:10:41 AM,9
70,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:11:50 AM,9
71,Location 4: Regents Drive at Main Administration,Male,FALSE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:11:56 AM,9
72,Location 4: Regents Drive at Main Administration,Male,FALSE,Street,N/A,4/28/2015 0:00,12:00:00,AM,3,9:12:02 AM,9
73,Location 4: Regents Drive at Main Administration,Female,TRUE,Sidewalk,N/A,4/28/2015 0:00,12:00:00,AM,3,9:12:14 AM,9
